ID,Label
00050.jpg,129 222 609 574 kangaroo 488 415 553 495 kangaroo 
00144.jpg,131 72 598 522 kangaroo 
00019.jpg,174 74 285 358 kangaroo 374 159 598 396 kangaroo 
00177.jpg,362 12 630 317 kangaroo 
00095.jpg,358 151 598 340 kangaroo 
00059.jpg,130 186 800 506 kangaroo 
00180.jpg,266 149 558 423 kangaroo 
00108.jpg,95 93 284 258 kangaroo 295 91 365 229 kangaroo 380 107 488 254 kangaroo 7 19 174 295 kangaroo 
00109.jpg,100 86 482 379 kangaroo 
00097.jpg,90 190 861 582 kangaroo 
00120.jpg,207 80 644 453 kangaroo 
00107.jpg,1 150 154 226 kangaroo 140 181 178 224 kangaroo 198 128 223 205 kangaroo 221 146 282 192 kangaroo 
00111.jpg,393 146 606 274 kangaroo 
00182.jpg,12 152 133 299 kangaroo 102 185 188 303 kangaroo 201 133 297 299 kangaroo 
00029.jpg,139 52 339 258 kangaroo 
00169.jpg,258 56 381 267 kangaroo 
00164.jpg,75 45 397 449 kangaroo 6 269 110 440 kangaroo 330 72 508 416 kangaroo 234 257 679 480 kangaroo 612 188 865 416 kangaroo 
00017.jpg,61 3 506 387 kangaroo 
00170.jpg,305 90 499 238 kangaroo 158 129 300 210 kangaroo 
00171.jpg,143 96 697 505 kangaroo 57 63 444 390 kangaroo 
00147.jpg,149 105 818 544 kangaroo 
00033.jpg,273 24 603 301 kangaroo 
00013.jpg,223 87 428 355 kangaroo 62 114 596 399 kangaroo 
00001.jpg,233 89 386 262 kangaroo 134 105 341 253 kangaroo 
00129.jpg,183 32 365 450 kangaroo 
00131.jpg,274 137 420 388 kangaroo 
00024.jpg,248 260 516 428 kangaroo 91 69 270 370 kangaroo 
00166.jpg,103 222 300 444 kangaroo 
00046.jpg,1 105 224 289 kangaroo 313 106 574 335 kangaroo 
00136.jpg,21 98 340 331 kangaroo 
00173.jpg,1 66 296 566 kangaroo 150 11 519 530 kangaroo 387 339 488 418 kangaroo 
00084.jpg,9 129 476 388 kangaroo 
00092.jpg,74 47 263 299 kangaroo 
00074.jpg,33 36 503 443 kangaroo 
00176.jpg,98 63 296 265 kangaroo 
00076.jpg,145 38 247 266 kangaroo 247 103 374 258 kangaroo 233 86 341 236 kangaroo 
00065.jpg,82 38 244 434 kangaroo 
00150.jpg,122 18 343 565 kangaroo 
00141.jpg,97 38 444 280 kangaroo 
00052.jpg,124 38 306 221 kangaroo 
00163.jpg,263 20 800 593 kangaroo 
00079.jpg,170 76 711 468 kangaroo 
00010.jpg,9 116 653 600 kangaroo 52 74 540 569 kangaroo 1 125 121 599 kangaroo 
00005.jpg,508 213 843 466 kangaroo 
